;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Players;Score;Accuracy;Moves;Date;;Players;Score;Accuracy;Moves;Date;;Players;Score;Accuracy;Moves;Date;;Players;Rating;Score;Accuracy;Moves;Date;;Game_id;Black;White;Resoult;Accuracy;Moves;Rating;Date;;My_rating;Opponent_rating;;;;;;;
SethariusII(1062);0;65.4;59;11.cze.22;;1062;Lose;65.4;59;11.06.2022;;SethariusII;Lose;65.4;59;11.06.2022;;SethariusII;1062;Lose;65.4;59;11.06.2022;;;SethariusII;Aviozek;;;;;;;;1062;;;;1065;1029;;
Aviozek(1141);1;75.2;;;;1141;Win;75.2;;;;Aviozek;Win;75.2;;;;Aviozek;1141;Win;75.2;;;;;;;;;59;;11.06.2022;;1141;;;;;1081;1184;;
ykrishanthi(1110);0;72.3;10;10.cze.22;;1110;Lose;72.3;10;10.06.2022;;ykrishanthi;Lose;72.3;10;10.06.2022;;ykrishanthi;1110;Lose;72.3;10;10.06.2022;;;ykrishanthi;Aviozek;;;;;;;;1110;;;;1091;1147;;
Aviozek(1135);1;84.5;;;;1135;Win;84.5;;;;Aviozek;Win;84.5;;;;Aviozek;1135;Win;84.5;;;;;;;;;10;;10.06.2022;;1135;;;;;1073;1054;;
Aviozek(1127);1;76;38;10.cze.22;;1127;Win;76;38;10.06.2022;;Aviozek;Win;76;38;10.06.2022;;Aviozek;1127;Win;76;38;10.06.2022;;;Aviozek;SissyAvatar;;;;;;;1127;;;;;1058;1079;;
SissyAvatar(1164);0;68.9;;;;1164;Lose;68.9;;;;SissyAvatar;Lose;68.9;;;;SissyAvatar;1164;Lose;68.9;;;;;;;;;38;;10.06.2022;;;1164;;;;1041;968;;
awesomezorz(1107);1;76.9;14;10.cze.22;;1107;Win;76.9;14;10.06.2022;;awesomezorz;Win;76.9;14;10.06.2022;;awesomezorz;1107;Win;76.9;14;10.06.2022;;;awesomezorz;Aviozek;;;;;;;;1107;;;;1028;1132;;
Aviozek(1118);0;56.1;;;;1118;Lose;56.1;;;;Aviozek;Lose;56.1;;;;Aviozek;1118;Lose;56.1;;;;;;;;;14;;10.06.2022;;1118;;;;;1037;1119;;
AkshayGujarcr7(1087);1;75.2;30;10.cze.22;;1087;Win;75.2;30;10.06.2022;;AkshayGujarcr7;Win;75.2;30;10.06.2022;;AkshayGujarcr7;1087;Win;75.2;30;10.06.2022;;;AkshayGujarcr7;Aviozek;;;;;;;;1087;;;;1047;1044;;
Aviozek(1127);0;66.6;;;;1127;Lose;66.6;;;;Aviozek;Lose;66.6;;;;Aviozek;1127;Lose;66.6;;;;;;;;;30;;10.06.2022;;1127;;;;;1034;1010;;
Aviozek(1136);0;76.5;8;10.cze.22;;1136;Lose;76.5;8;10.06.2022;;Aviozek;Lose;76.5;8;10.06.2022;;Aviozek;1136;Lose;76.5;8;10.06.2022;;;Aviozek;vnaveen8894;;;;;;;1136;;;;;1022;912;;
vnaveen8894(1125);1;94.5;;;;1125;Win;94.5;;;;vnaveen8894;Win;94.5;;;;vnaveen8894;1125;Win;94.5;;;;;;;;;8;;10.06.2022;;;1125;;;;1016;967;;
Aviozek(1145);1;79.3;49;10.cze.22;;1145;Win;79.3;49;10.06.2022;;Aviozek;Win;79.3;49;10.06.2022;;Aviozek;1145;Win;79.3;49;10.06.2022;;;Aviozek;samurainero50;;;;;;;1145;;;;;1008;1017;;
samurainero50(1109);0;70.3;;;;1109;Lose;70.3;;;;samurainero50;Lose;70.3;;;;samurainero50;1109;Lose;70.3;;;;;;;;;49;;10.06.2022;;;1109;;;;1017;1090;;
Aviozek(1137);0;73.6;71;10.cze.22;;1137;Lose;73.6;71;10.06.2022;;Aviozek;Lose;73.6;71;10.06.2022;;Aviozek;1137;Lose;73.6;71;10.06.2022;;;Aviozek;Henrik_Geiran;;;;;;;1137;;;;;1024;1000;;
Henrik_Geiran(1132);1;77.5;;;;1132;Win;77.5;;;;Henrik_Geiran;Win;77.5;;;;Henrik_Geiran;1132;Win;77.5;;;;;;;;;71;;10.06.2022;;;1132;;;;1016;1033;;
Aviozek(1145);1;62.1;27;09.cze.22;;1145;Win;62.1;27;09.06.2022;;Aviozek;Win;62.1;27;09.06.2022;;Aviozek;1145;Win;62.1;27;09.06.2022;;;Aviozek;Murfi2;;;;;;;1145;;;;;1007;997;;
Murfi2(1175);0;60.1;;;;1175;Lose;60.1;;;;Murfi2;Lose;60.1;;;;Murfi2;1175;Lose;60.1;;;;;;;;;27;;09.06.2022;;;1175;;;;1016;956;;
